"","year","unique_id","ccode","state_name","event_num_all","event_num","start","stop","alt_start","alt_stop","num_before_46","left_censored","new_tc","new_tc_dummy","num_tc","area","area_1000","area_1000_log","country_age","durable","elf","exist_tc","first_tc","first_tc_alt","first_tc_count","lmtnest","sf","sf_onset","state_fail","tc_persists_alt","tc_tally","Devel","birth_type","rivals_thom","rivals_gd","hs_capacity","kills_mean","kills_median","ciri_disap","ciri_kill","ciri_polpris","ciri_tort","pts_amnesty","pts_state","pts_hrw","hath_tort","ucdp_low","ucdp_best","ucdp_high","polity","polity2","polity_democ","polity_autoc","v2x_polyarchy","v2x_libdem","v2x_partipdem","v2x_egaldem","acd_inter_ongoing","acd_inter_onset","acd_intra_ongoing","acd_intra_onset","acd_any_ongoing","acd_any_onset","wbgdp2011est","wbgdppc2011est","wbpopest","sdpest","hrp_mean","hrp_sd","lag_hrp","hrp1","hrp2","hrp3","hrp4","hrp5","lag_num_tc","lag_hrp1","lag_hrp2","lag_hrp3","lag_hrp4","lag_hrp5"
"21",1947,140.1947,140,"Brazil",7,1,1,2,1,2,9,1,0,0,0,8523620,8523.620117,9.050596426,126,1,0.549000025,0,NA,1,NA,1.4109869,0,0,0,0,9,0.12287572,4,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,6,1,0.393,0.276,0.242,0.156,0,0,0,0,0,0,25.56,7.905,17.655,25.043,-0.062653161,0.500171167,-0.047558122,-1.115768858,-0.94187369,-0.175280391,-0.517355478,0.373563596,0,-0.352582507,-0.173651805,-0.243919916,-0.883157889,-0.252710083
"22",1947,100.1947,100,"Colombia",2,1,1,2,1,2,1,1,0,0,0,1142726,1142.725952,7.041171873,118,17,0.656000018,0,NA,1,NA,3.640214205,0,0,0,0,1,0.082892142,5,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,6,1,0.26,0.167,0.092,0.075,0,0,0,0,0,0,24.388,8.226,16.162,24.041,-1.21540668,0.358575659,-1.070727197,-1.409343368,-1.17061186,-1.3234385,-0.765112102,-1.349108425,0,0.064972223,-0.766217167,-1.460447935,-0.833166261,-1.278778499
"23",1947,94.1947,94,"CostaRica",1,1,1,2,1,2,0,1,0,0,0,51403,51.40299988,3.939696534,108,28,0.238000005,0,0,0,108,3.144152403,0,0,0,0,0,0.021984259,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,6,1,0.33,0.242,0.168,0.2,0,0,0,0,0,0,21.651,8.184,13.468,21.286,0.14121617,0.549329672,0.132685817,-0.282599979,0.683481763,0.933545698,0.649948533,1.114281802,0,0.304544142,0.437272409,0.508573711,-0.395961198,0.709149153
"24",1947,530.1947,530,"Ethiopia",1,1,1,2,1,2,0,1,0,0,0,1256379,1256.379028,7.135989075,7,1,0.75999999,0,0,0,7,4.268297672,0,0,0,0,0,0.00012397,6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9,-9,0,9,0.018,0.028,0.018,0.025,0,0,0,0,0,0,22.824,6.133,16.693,0,0.494485314,0.611883983,0.451776773,-0.128491354,0.581674758,0.517246076,0.097763479,0.951661996,0,0.135998895,1.027790506,0.575512611,0.584082941,0.250350094
"25",1947,90.1947,90,"Guatemala",4,1,1,2,1,2,4,1,0,0,0,109654,109.6539993,4.697329948,108,3,0.493000001,0,NA,1,NA,3.763522863,0,0,0,0,4,0.000917855,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,6,1,0.383,0.229,0.222,0.156,0,0,0,0,0,0,22.903,8.175,14.728,22.534,-0.332769898,0.46801267,-0.301175143,0.138839303,-0.253778876,-0.209234289,0.03853215,-0.664962336,0,-0.013709893,-0.147915892,-0.923716361,0.222373997,-0.304526701
"26",1947,91.1947,91,"Honduras",2,1,1,2,1,2,1,1,0,0,0,112871,112.8710022,4.726245593,108,11,0.185000002,0,NA,1,NA,3.985273361,0,0,0,0,1,0,5,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-3,1,4,0.16,0.068,0.101,0.042,0,0,0,0,0,0,21.836,7.78,14.057,21.223,0.372373814,0.593147814,0.33616186,0.583537358,0.2355248,0.182099641,0.052861372,0.328861531,0,-0.240755748,0.7379923,-0.709619947,0.492128242,-0.264886662
"27",1947,750.1947,750,"India",1,1,0,1,0,1,0,0,3,1,3,3060681,3060.680908,8.026392689,1,NA,0.81099999,1,1,1,1,2.631888866,0,0,0,0,3,0.092526972,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-88,NA,-88,-88,0.229,0.109,0.155,0.123,0,0,0,0,0,0,26.724,7.048,19.678,23.671,-0.63787872,0.426712374,NA,-0.099571813,-0.313769982,-0.124972721,-0.564828222,-0.763069407,3,NA,NA,NA,NA,NA
"28",1947,850.1947,850,"Indonesia",1,1,1,2,1,2,0,1,0,0,0,1478049,1478.04895,7.29847822,3,0,0.765999973,0,0,0,3,2.44234705,0,0,0,0,0,0.095120974,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,4,2,0.166,0.117,0.099,0.115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"29",1947,630.1947,630,"Iran",8,1,1,2,1,2,9,1,0,0,0,1626150,1626.150024,7.393970552,48,6,0.66900003,0,NA,1,NA,3.671224594,0,0,0,0,9,0.078727424,6,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,5,1,0.167,0.102,0.044,0.085,0,0,0,0,0,0,24.547,8.016,16.531,24.098,-0.463075785,0.426307538,-0.414575935,-0.346943916,-0.741933563,-0.939788529,-0.019820189,-1.28795567,0,-0.523434904,-0.978129828,-0.262205095,0.714408449,0.164775156
"30",1947,645.1947,645,"Iraq",1,1,1,2,1,2,0,1,0,0,0,437463,437.4630127,6.08099216,16,23,0.549000025,0,0,0,16,1.945910096,0,0,0,0,0,0.581704557,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4,-4,1,5,0.144,0.172,0.044,0.112,0,0,0,0,0,0,23.314,7.963,15.351,22.834,-0.511831936,0.413645393,-0.473883759,-0.654017863,-0.632769568,-0.662213551,-0.297650775,-0.641029135,0,-0.133917215,-0.393890515,-0.794044223,-0.601765092,0.469268923
